,date,ndvi,gndvi,no2,soil_moisture,soil_temp,day,month,year,growing_season,yield
3,2019-03-20,0.4759937574563815,0.48423731976471157,0.6957373925186978,0.3007971828489925,0.9095470768719034,20,3,2019,1,0.0
4,2019-03-25,0.6574860835706668,0.6591512374956477,0.5721894775095864,0.7455017335654278,0.6598679687356563,25,3,2019,1,0.0
5,2019-03-30,0.5252228435522571,0.48586586544779425,0.39145418018256717,0.38541175394518346,0.9330682522537979,30,3,2019,1,0.0
6,2019-04-04,0.8387683676306696,0.8029656754722061,0.4134160976377109,0.8868080387129597,0.6070585573258844,4,4,2019,1,0.0
7,2019-04-09,0.6383804914598397,0.6227529683952802,0.6954271109188672,0.6270847803531155,0.7521751701157315,9,4,2019,1,0.0
8,2019-04-14,0.46472622321685064,0.4514704104010803,0.7421618026695693,0.799052184178107,0.6471415627728776,14,4,2019,1,0.0
9,2019-04-19,0.7037211710025292,0.6776394975860786,0.7237250237571566,0.7034388335805773,0.8474347506984055,19,4,2019,1,0.0
10,2019-04-24,0.824620909302586,0.8074943280328257,0.36951382992590365,0.8994417719239575,0.7345483097696794,24,4,2019,1,0.0
11,2019-04-29,0.8903772800751315,0.8768902795227757,0.24377191964196077,0.6559365683693622,0.935531533657147,29,4,2019,1,0.0
12,2019-05-04,1.0,1.0,0.35880477659521304,0.7400194936788461,0.8129315988315087,4,5,2019,1,0.0
13,2019-05-09,0.949366323430082,0.943770037500758,0.15631547949636937,0.6882955035914674,0.5594400806846958,9,5,2019,1,0.0
14,2019-05-14,0.931165000702115,0.9221047535914357,0.6481629727343978,0.7274086269532981,0.7367735210303445,14,5,2019,1,0.0
15,2019-05-19,0.7408505603247623,0.7335971088509072,0.5225513867016125,0.71095904898287,0.6412671674971504,19,5,2019,1,0.0
16,2019-05-24,0.6328799569416422,0.6242183465236262,0.9933591148905783,0.8493670270996437,0.6620960809322449,24,5,2019,1,0.9736930050411151
19,2019-09-16,0.15339679944967757,0.07818538276927327,0.8119013919014355,0.0,0.8720083856388188,16,9,2019,2,0.0
20,2019-09-21,0.10518579718929177,0.0,0.5586832485002478,0.1592422046721943,1.0000000000000009,21,9,2019,2,0.0
21,2019-09-26,0.42669483564410393,0.36453817774892183,0.3691503936571674,0.5945229050726438,0.6678308444914647,26,9,2019,2,0.0
22,2019-10-01,0.7124840721658856,0.6697717592249968,0.5221085236902441,0.5912730058280952,0.5853937875489938,1,10,2019,2,0.0
23,2019-10-06,0.39357897078501813,0.37053585032780106,0.5234220904968361,0.6910537733988459,0.4470555016733533,6,10,2019,2,0.0
24,2019-10-11,0.7874114053789868,0.7400802509296339,0.5996159507901655,0.8004470397905431,0.45963376650754295,11,10,2019,2,0.0
25,2019-10-16,0.9227633907096517,0.9116232398283594,0.6894446431249939,0.8460656782628332,0.5594588400704383,16,10,2019,2,0.0
26,2019-10-21,0.35918134690735914,0.3478514495540154,0.1699162344934093,0.9737578496357083,0.3248473865951622,21,10,2019,2,0.0
27,2019-10-26,0.9239272136266479,0.9051491703120504,0.8849560979523048,0.9931028963262133,0.3077332183273471,26,10,2019,2,0.0
28,2019-10-31,0.9270387728370164,0.9174549473634837,0.3181817579918167,0.9579914079180919,0.3096598265820498,31,10,2019,2,0.0
29,2019-11-05,0.746433400862652,0.7379515454731841,0.323613753630135,0.8024678654421663,0.5241890675328191,5,11,2019,2,0.0
30,2019-11-10,0.3797322819867994,0.3725585632652514,0.1894412352944379,0.9956124931043256,0.324603321184866,10,11,2019,2,0.0
31,2019-11-15,0.15543745797095584,0.13351845090291553,0.45430901760198017,0.9973074713382893,0.04810776783615989,15,11,2019,2,0.0
32,2019-11-20,0.4177819728501815,0.34367922846896326,0.15804555614938487,0.9284336171635837,0.33324037445281274,20,11,2019,2,0.9096035358408684
35,2020-03-19,0.5669818294711102,0.5677058610964034,0.6788946097395916,0.4756228973552049,0.638015991892849,19,3,2020,1,0.0
36,2020-03-24,0.664948298020455,0.6532857465883564,0.2546974392735135,0.7974229470898108,0.5714188187582296,24,3,2020,1,0.0
37,2020-03-29,0.6679285819493932,0.6403313107280775,0.22672590059786735,0.4020528387312531,0.9606693039397642,29,3,2020,1,0.0
38,2020-04-03,0.6298716123431257,0.6231409333404394,0.27305413708048176,0.6130018836267389,0.7051291448330934,3,4,2020,1,0.0
39,2020-04-08,0.759166882902755,0.7278896666543537,0.8873170750392363,0.40786378434617576,0.9187455579418495,8,4,2020,1,0.0
40,2020-04-13,0.8568481238668444,0.835465492866447,1.0,0.5545351386423597,0.9585947479521932,13,4,2020,1,0.0
41,2020-04-18,0.8591147540693137,0.8559639732569239,0.5204595561908814,0.7041705611149697,0.7867142935882674,18,4,2020,1,0.0
42,2020-04-23,0.6262533556261178,0.6440642751732927,0.5076470297869642,0.8273894762717341,0.6649751631534757,23,4,2020,1,0.0
43,2020-04-28,0.7626748279208702,0.7819637348294098,0.4032010380846338,0.9863572831185313,0.46866708762470655,28,4,2020,1,0.0
44,2020-05-03,0.7662706703395712,0.7705116263003877,0.45767910082819696,0.9084397339484419,0.659381385080871,3,5,2020,1,0.0
45,2020-05-08,0.7518750224345232,0.7600848034783422,0.23855020882341638,0.8412008334833946,0.6373265361181142,8,5,2020,1,0.0
46,2020-05-13,0.7374793745294751,0.7496579806562965,0.6168518988807192,0.8850701858187772,0.31753045257501267,13,5,2020,1,0.0
47,2020-05-18,0.7230837266244272,0.7392311578342511,0.7689321636877688,0.8102739119125816,0.7013937063227944,18,5,2020,1,0.0
48,2020-05-23,0.7086880787193792,0.7288043350122054,0.8148027470473618,0.9063074341802507,0.5136062598329731,23,5,2020,1,0.9407115926816756
52,2020-09-20,0.6367098391941391,0.6766702209019775,0.6258612254940235,0.6102350388873169,0.4472028692190344,20,9,2020,2,0.0
53,2020-09-25,0.6223141912890913,0.6662433980799318,0.6018834603802066,0.8448566128446765,0.2945898511723142,25,9,2020,2,0.0
54,2020-09-30,0.607918543384043,0.6558165752578862,0.5832340875139046,0.760670788350669,0.5375600614611598,30,9,2020,2,0.0
55,2020-10-05,0.5935228954789952,0.6453897524358406,0.5645847146476026,0.9050326276164259,0.2975259851336771,5,10,2020,2,0.0
56,2020-10-10,0.5791272475739471,0.6349629296137952,0.5459353417813007,0.8690264879650828,0.19246008070403153,10,10,2020,2,0.0
57,2020-10-15,0.5647315996688991,0.6245361067917495,0.5192933805437263,0.8747974172304681,0.33099137551745006,15,10,2020,2,0.0
58,2020-10-20,0.5503359517638512,0.6141092839697039,0.4979798115536669,0.549618844270659,0.6391117720947461,20,10,2020,2,0.0
59,2020-10-25,0.5359403038588031,0.6036824611476583,0.4793304386873649,0.9084768919872973,0.2569314479828444,25,10,2020,2,0.0
60,2020-10-30,0.5215446559537551,0.5932556383256128,0.4580168696973055,0.5490128824062405,0.6307296143979295,30,10,2020,2,0.0
61,2020-11-04,0.507149008048707,0.5828288155035671,0.43670330070724606,0.886242093198078,0.0,4,11,2020,2,0.0
62,2020-11-09,0.4927533601436592,0.5724019926815215,0.418053927840944,0.9969587574351805,0.16382706940683267,9,11,2020,2,0.0
63,2020-11-14,0.4783577122386111,0.5619751698594759,0.3994045549746419,0.9370914402170026,0.34324125440338715,14,11,2020,2,0.0
64,2020-11-19,0.463962064333563,0.5515483470374305,0.3780909859845826,0.9220738758978669,0.42959863617332505,19,11,2020,2,0.0
65,2020-11-24,0.44956641642851514,0.5411215242153848,0.36210580924203783,0.9946635339581599,0.029953323940749677,24,11,2020,2,1.0
66,2021-03-09,0.4484609236877942,0.5376264431911508,0.2647522407347759,0.4624260769400069,0.6616286434546703,9,3,2021,1,0.0
67,2021-03-14,0.25878708130378547,0.2765312217156022,0.542899070125576,0.773258788590767,0.5465102224147609,14,3,2021,1,0.0
68,2021-03-24,0.025668576287534023,0.020046170895139465,0.4162993944394655,1.0,0.026663275794886587,24,3,2021,1,0.0
69,2021-03-29,0.42837484504210466,0.44335378641270357,0.6959328565272902,0.7247075233595438,0.5271712296777329,29,3,2021,1,0.0
70,2021-04-03,0.6052362521911512,0.6199725511258634,0.48402354798284597,0.5870855806801066,0.7564859609205348,3,4,2021,1,0.0
71,2021-04-08,0.7544370593263011,0.7402115052567729,0.36295302232935067,0.8998190689338784,0.6056365185287644,8,4,2021,1,0.0
72,2021-04-18,0.7968792289224573,0.7952563325815294,0.4327545484379173,0.8711702209759987,0.5515089218284777,18,4,2021,1,0.0
73,2021-04-23,0.8266808863447407,0.840177981759487,0.41350985148678887,0.8870281286354139,0.5971675261495237,23,4,2021,1,0.0
74,2021-04-28,0.42870733160825203,0.4310687792004924,0.0,0.8692980274797989,0.5791105537016525,28,4,2021,1,0.0
75,2021-05-03,0.870237768376923,0.8742273086033764,0.459795599078767,0.7978088190317757,0.6444742488751656,3,5,2021,1,0.0
76,2021-05-08,0.6035916415382665,0.5789891708973258,0.49462876231589137,0.9394524048396916,0.5104804046612204,8,5,2021,1,0.0
77,2021-05-13,0.5959618089189165,0.566503555259316,0.5421323382930405,0.9545757266540326,0.7234690552328571,13,5,2021,1,0.0
78,2021-05-18,0.7667811044704412,0.7558276392665604,0.3771903226923373,0.9892384602852023,0.2755618387679215,18,5,2021,1,0.0
79,2021-05-23,0.8572956216052541,0.8569953668440895,0.331089245059611,0.7210117276487248,0.6065346482953649,23,5,2021,1,0.8106451779923091
82,2021-09-15,0.5353908382590736,0.5686722730828467,0.465225385012784,0.760436406874809,0.5287485652454427,15,9,2021,2,0.0
83,2021-09-20,0.6289524736414316,0.6559195173977552,0.6175318070470088,0.8937022840760652,0.22346238308019029,20,9,2021,2,0.0
84,2021-09-25,0.24967073070620835,0.2792707579231749,0.5089148136846346,0.6408989958754577,0.6864848295555079,25,9,2021,2,0.0
85,2021-09-30,0.0,0.006059145369311569,0.416326294103999,0.9751498469374628,0.16952063967570918,30,9,2021,2,0.0
86,2021-10-05,0.4588753799863525,0.44543763871071335,0.4022015335384729,0.6353510148432074,0.2970394014788935,5,10,2021,2,0.0
87,2021-10-10,0.9177507599727053,0.8848161320521152,0.7414239925421184,0.36791031764406623,0.8123796474202445,10,10,2021,2,0.0
88,2021-10-15,0.9470390007586331,0.9349677205376687,0.4128636269062057,0.0466076139679924,0.7508517631405249,15,10,2021,2,0.0
89,2021-10-20,0.8228126041531677,0.8142002376646194,0.8880671783400735,0.9449718027651294,0.09896678331652975,20,10,2021,2,0.0
90,2021-10-25,0.7550565533777357,0.740697941141864,0.5354062747424413,0.9369170832654482,0.43013221499029886,25,10,2021,2,0.0
91,2021-10-30,0.7993109952926845,0.789513028301122,0.6539156137040794,0.8391742912104087,0.5366909410539451,30,10,2021,2,0.0
92,2021-11-04,0.8435654372076332,0.8383281154603802,0.6432278364055539,0.9669807950105328,0.3518492983119481,4,11,2021,2,0.0
93,2021-11-14,0.887819879122582,0.8871432026196382,0.2364722956884937,0.8713159948207411,0.3054942759699122,14,11,2021,2,0.0
94,2021-11-19,0.8982248245390214,0.8937109272633272,0.40278468598257544,0.8872196354510554,0.45969913426402,19,11,2021,2,0.0
95,2021-11-24,0.1480173580396,0.14245151618687962,0.8453524819511526,0.9819754928442191,0.27313897707197743,24,11,2021,2,0.906054515586977
